pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-1136 g,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,39.53870000,0.00360000,-0.00300000,0,,,,,2.530,0.110,-0.120,0,0.226,0.010,-0.011,0,,,,,,,,,,0.036000,0.026000,-0.018000,0,,,,,,,,,0,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,,5770.00,50.00,-50.00,0,0.97,0.04,-0.04,0,1.02,0.03,-0.03,0,0.070,0.060,-0.060,0,[Fe/H],4.47,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,0.1583000,-0.1577000,9.5340000,0.0030000,-0.0030000,8.0340000,0.0210000,-0.0210000,9.3678900,0.0005890,-0.0005890,2022-12-05,2022-10,2022-12-05
TOI-1181 b,TOI-1181,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,2.10319500,0.00001200,-0.00001100,0,,,,,14.572,0.897,-0.897,0,1.300,0.080,-0.080,0,375.03752,44.49598,-44.49598,0,1.18000,0.14000,-0.14000,0,Mass,,,,,,,,,,,,,0,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,F9 IV,5990.00,95.00,-95.00,0,1.75,0.09,-0.09,0,1.19,0.18,-0.18,0,0.050,0.100,-0.100,0,[Fe/H],3.90,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m51.80s,297.2158166,+64d21m15.66s,64.3543506,302.8190000,3.5420000,-3.4620000,10.5820000,0.0060000,-0.0060000,9.2200000,0.0150000,-0.0150000,10.4776000,0.0003410,-0.0003410,2022-05-23,2022-05,2022-05-23
TOI-1194 b,TOI-1194,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231012458W/abstract target=ref>Wang et al. 2023</a>,2.31064400,0.00000100,-0.00000100,0,0.034280,0.000550,-0.000550,0,8.597,0.504,-0.460,0,0.767,0.045,-0.041,0,144.92975,17.48056,-16.20925,0,0.45600,0.05500,-0.05100,0,Mass,0.076000,0.032000,-0.043000,0,,,,,1391,38,-37,0,0,<a refstr=WANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231012458W/abstract target=ref>Wang et al. 2023</a>,,5446.00,51.00,-48.00,0,0.96,0.06,-0.05,0,1.01,0.05,-0.05,0,0.290,0.078,-0.078,0,[Fe/H],4.47,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h11m17.16s,167.8214811,+69d57m53.19s,69.9647749,149.6670000,0.6550000,-0.6490000,11.3020000,0.0100000,-0.0100000,9.3400000,0.0150000,-0.0150000,10.9887000,0.0004090,-0.0004090,2023-11-06,2023-10,2023-11-06
TOI-1201 b,TOI-1201,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KOSSAKOWSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...656A.124K/abstract target=ref>Kossakowski et al. 2021</a>,2.49198630,0.00000300,-0.00000310,0,0.028700,0.001200,-0.001200,0,2.415,0.091,-0.090,0,0.215,0.008,-0.008,0,6.28000,0.84000,-0.88000,0,0.01976,0.00264,-0.00277,0,Mass,0.000000,,,0,40.60,3.60,-3.20,0,703,15,-14,0,0,<a refstr=KOSSAKOWSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...656A.124K/abstract target=ref>Kossakowski et al. 2021</a>,M2.0 V,3476.00,51.00,-51.00,0,0.51,0.02,-0.02,0,0.51,0.02,-0.02,0,0.050,0.160,-0.160,0,[Fe/H],4.80,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h48m59.45s,42.2476999,-14d32m14.22s,-14.5372835,37.8871000,0.0516000,-0.0516000,12.2600000,0.2000000,-0.2000000,8.6460000,0.0290000,-0.0290000,12.0966000,0.0006090,-0.0006090,2021-09-27,2021-12,2021-09-27
TOI-122 b,TOI-122,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WAALKES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...13W/abstract target=ref>Waalkes et al. 2021</a>,5.07803000,0.00001500,-0.00001500,0,0.039200,0.000700,-0.000700,0,2.720,0.180,-0.180,0,0.243,0.016,-0.016,0,,,,,,,,,,0.000000,,,0,8.80,1.00,-1.00,0,471,,,0,0,<a refstr=WAALKES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...13W/abstract target=ref>Waalkes et al. 2021</a>,M3 V,3403.00,100.00,-100.00,0,0.33,0.01,-0.01,0,0.31,0.01,-0.01,0,,,,,,4.88,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h11m47.58s,332.9482355,-58d56m45.91s,-58.9460850,62.1180000,0.2165000,-0.2151000,15.5260000,0.0260000,-0.0260000,10.7710000,0.0210000,-0.0210000,14.3357000,0.0004420,-0.0004420,2020-12-10,2021-01,2020-12-17
TOI-1221 b,TOI-1221,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,91.68278000,0.00032000,-0.00041000,0,0.387000,0.026000,-0.023000,0,2.910,0.130,-0.120,0,0.260,0.012,-0.011,0,1112.39942,,,1,3.50000,,,1,Mass,0.210000,,,1,6.06,0.85,-0.77,0,440,60,-60,0,1,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,,5592.00,50.00,-50.00,0,1.03,0.02,-0.02,0,0.93,0.22,-0.22,0,0.060,0.080,-0.080,0,[Fe/H],4.38,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m41.05s,107.9210254,-65d30m31.88s,-65.5088568,138.4110000,0.3870000,-0.3860000,10.4940000,0.0060000,-0.0060000,9.0360000,0.0210000,-0.0210000,10.5262000,0.0002450,-0.0002450,2023-05-16,2023-05,2023-05-16
TOI-1227 b,TOI-1227,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,27.36397000,0.00011000,-0.00011000,0,0.088600,0.005400,-0.005700,0,9.572,0.751,-0.583,0,0.854,0.067,-0.052,0,,,,,,,,,,,,,,3.21,0.38,-0.36,0,,,,,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,M4.5V-M5V,3072.00,74.00,-74.00,0,0.56,0.03,-0.03,0,0.17,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h27m04.17s,186.7673635,-72d27m06.66s,-72.4518501,100.6410000,0.5730000,-0.5660000,16.9990000,1.1330000,-1.1330000,11.0340000,0.0210000,-0.0210000,15.2514000,0.0008480,-0.0008480,2022-03-28,2022-04,2022-03-28
TOI-1231 b,TOI-1231,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,24.24558600,0.00006400,-0.00006600,0,0.128800,0.002100,-0.002200,0,3.650,0.160,-0.150,0,0.326,0.014,-0.013,0,15.40000,3.30000,-3.30000,0,0.04845,0.01038,-0.01038,0,Mass,0.087000,0.120000,-0.061000,0,1.93,0.10,-0.10,0,330,4,-4,0,0,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,M3 V,3553.00,51.00,-52.00,0,0.48,0.01,-0.01,0,0.48,0.02,-0.02,0,0.041,0.069,-0.063,0,[Fe/H],4.77,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h26m59.34s,156.7472600,-52d28m04.34s,-52.4678724,27.6227000,0.0609000,-0.0609000,12.3600000,0.2000000,-0.2000000,8.0690000,0.0260000,-0.0260000,11.3600000,0.0009220,-0.0009220,2021-11-09,2021-09,2021-11-09
TOI-1235 b,TOI-1235,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,3.44471400,0.00009000,-0.00009000,0,,,,,1.690,0.080,-0.080,0,0.151,0.007,-0.007,0,6.69000,0.67000,-0.69000,0,0.02105,0.00211,-0.00217,0,Mass,0.049000,0.072000,-0.035000,0,,,,,,,,,0,<a refstr=BLUHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.132B/abstract target=ref>Bluhm et al. 2020</a>,M0.5 V,3997.00,51.00,-51.00,0,0.62,0.02,-0.02,0,0.63,0.02,-0.02,0,0.330,0.160,-0.160,0,[Fe/H],4.64,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h08m52.38s,152.2182549,+69d16m35.83s,69.2766204,39.6345000,0.0478000,-0.0478000,11.4950000,0.0560000,-0.0560000,7.8930000,0.0230000,-0.0230000,10.8492000,0.0005190,-0.0005190,2023-07-10,2022-09,2023-07-10
TOI-1246 b,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,4.30744000,0.00002000,-0.00002000,0,0.049000,0.002000,-0.002000,0,3.010,0.060,-0.060,0,0.269,0.005,-0.005,0,8.10000,1.10000,-1.10000,0,0.02549,0.00346,-0.00346,0,Mass,,,,,196.00,,,0,955,,,0,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,100.00,-100.00,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,0.170,0.060,-0.060,0,[Fe/H],4.40,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,0.6730000,-0.6690000,11.6320000,0.0240000,-0.0240000,9.9070000,0.0360000,-0.0360000,11.7291000,0.0001590,-0.0001590,2022-05-03,2022-04,2022-05-03
TOI-1246 c,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,5.90414400,0.00008300,-0.00008300,0,0.061000,0.002000,-0.002000,0,2.510,0.080,-0.080,0,0.224,0.007,-0.007,0,8.80000,1.20000,-1.20000,0,0.02769,0.00378,-0.00378,0,Mass,,,,,129.00,,,0,860,,,0,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,100.00,-100.00,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,0.170,0.060,-0.060,0,[Fe/H],4.40,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,0.6730000,-0.6690000,11.6320000,0.0240000,-0.0240000,9.9070000,0.0360000,-0.0360000,11.7291000,0.0001590,-0.0001590,2022-05-03,2022-04,2022-05-03
TOI-1246 d,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,18.65590000,0.00048000,-0.00048000,0,0.131000,0.004000,-0.004000,0,3.510,0.090,-0.090,0,0.313,0.008,-0.008,0,5.30000,1.70000,-1.70000,0,0.01668,0.00535,-0.00535,0,Mass,,,,,28.00,,,0,586,,,0,1,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,100.00,-100.00,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,0.170,0.060,-0.060,0,[Fe/H],4.40,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,0.6730000,-0.6690000,11.6320000,0.0240000,-0.0240000,9.9070000,0.0360000,-0.0360000,11.7291000,0.0001590,-0.0001590,2022-05-03,2022-04,2022-05-03
TOI-1246 e,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,37.92160000,0.00100000,-0.00100000,0,0.211000,0.007000,-0.007000,0,3.780,0.160,-0.160,0,0.337,0.014,-0.014,0,14.80000,2.30000,-2.30000,0,0.04657,0.00724,-0.00724,0,Mass,,,,,11.00,,,0,462,,,0,1,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,100.00,-100.00,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,0.170,0.060,-0.060,0,[Fe/H],4.40,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,0.6730000,-0.6690000,11.6320000,0.0240000,-0.0240000,9.9070000,0.0360000,-0.0360000,11.7291000,0.0001590,-0.0001590,2022-05-03,2022-04,2022-05-03
TOI-125 b,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,4.65382000,0.00033000,-0.00031000,0,0.051860,0.000860,-0.000770,0,2.726,0.075,-0.075,0,0.243,0.007,-0.007,0,9.50000,0.88000,-0.88000,0,0.02989,0.00277,-0.00277,0,Mass,0.194000,0.041000,-0.036000,0,185.00,9.00,-9.00,0,1037,11,-11,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.020,0.030,-0.030,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,0.4440000,-0.4400000,11.0230000,0.0080000,-0.0080000,8.9950000,0.0210000,-0.0210000,10.7180000,0.0004110,-0.0004110,2020-02-06,2020-03,2020-02-13
TOI-125 c,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,9.15059000,0.00070000,-0.00082000,0,0.081400,0.001300,-0.001300,0,2.759,0.100,-0.100,0,0.246,0.009,-0.009,0,6.63000,0.99000,-0.99000,0,0.02086,0.00311,-0.00311,0,Mass,0.066000,0.070000,-0.047000,0,77.59,3.31,-3.31,0,828,9,-9,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.020,0.030,-0.030,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,0.4440000,-0.4400000,11.0230000,0.0080000,-0.0080000,8.9950000,0.0210000,-0.0210000,10.7180000,0.0004110,-0.0004110,2020-02-06,2020-03,2020-02-13
TOI-125 d,TOI-125,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,19.98000000,0.00500000,-0.00560000,0,0.137000,0.002200,-0.002200,0,2.930,0.170,-0.170,0,0.261,0.015,-0.015,0,13.60000,1.20000,-1.20000,0,0.04279,0.00378,-0.00378,0,Mass,0.168000,0.088000,-0.062000,0,26.70,1.40,-1.40,0,638,7,-7,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.020,0.030,-0.030,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,0.4440000,-0.4400000,11.0230000,0.0080000,-0.0080000,8.9950000,0.0210000,-0.0210000,10.7180000,0.0004110,-0.0004110,2020-02-06,2020-03,2020-02-13
TOI-1259 A b,TOI-1259 A,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>,3.47797800,0.00000190,-0.00000170,0,0.040700,0.001140,-0.001100,0,11.456,0.336,-0.303,0,1.022,0.030,-0.027,0,140.16233,15.57359,-14.93794,0,0.44100,0.04900,-0.04700,0,Mass,0.000000,,,0,,,,,963,21,-21,0,0,<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>,,4775.00,100.00,-100.00,0,0.71,0.02,-0.02,0,0.74,0.06,-0.06,0,-0.500,0.500,-0.500,0,[Fe/H],4.61,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h48m24.04s,282.1001665,+79d15m23.31s,79.2564761,118.1060000,0.3750000,-0.3720000,12.0790000,0.0460000,-0.0460000,9.6190000,0.0180000,-0.0180000,11.8104000,0.0008520,-0.0008520,2021-07-12,2021-11,2021-07-12
TOI-1260 b,TOI-1260,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,3.12746300,0.00000500,-0.00000500,0,0.036700,0.001100,-0.001100,0,2.410,0.050,-0.050,0,0.215,0.004,-0.004,0,8.56000,1.54000,-1.54000,0,0.02693,0.00485,-0.00485,0,Mass,0.000000,,,0,95.58,0.07,-0.07,0,871,24,-24,0,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,,4227.00,85.00,-85.00,0,0.67,0.01,-0.01,0,0.68,0.10,-0.06,0,-0.100,0.070,-0.070,0,[Fe/H],4.57,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,0.1607000,-0.1601000,11.9220000,0.0340000,-0.0340000,8.9500000,0.0220000,-0.0220000,11.5743000,0.0005360,-0.0005360,2022-12-17,2022-12,2022-12-17
TOI-1260 c,TOI-1260,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,7.49313400,0.00002000,-0.00002000,0,0.065700,0.002000,-0.002000,0,2.760,0.070,-0.070,0,0.246,0.006,-0.006,0,13.20000,4.23000,-4.23000,0,0.04153,0.01331,-0.01331,0,Mass,0.000000,,,0,29.81,0.05,-0.05,0,651,18,-18,0,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,,4227.00,85.00,-85.00,0,0.67,0.01,-0.01,0,0.68,0.10,-0.06,0,-0.100,0.070,-0.070,0,[Fe/H],4.57,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,0.1607000,-0.1601000,11.9220000,0.0340000,-0.0340000,8.9500000,0.0220000,-0.0220000,11.5743000,0.0005360,-0.0005360,2022-12-17,2022-12,2022-12-17
TOI-1260 d,TOI-1260,1,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,16.60816400,0.00008300,-0.00008300,0,0.111600,0.003300,-0.003300,0,3.120,0.080,-0.080,0,0.278,0.007,-0.007,0,11.84000,7.79000,-7.79000,0,0.03725,0.02451,-0.02451,0,Mass,0.000000,,,0,10.32,0.07,-0.07,0,499,14,-14,0,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,,4227.00,85.00,-85.00,0,0.67,0.01,-0.01,0,0.68,0.10,-0.06,0,-0.100,0.070,-0.070,0,[Fe/H],4.57,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,0.1607000,-0.1601000,11.9220000,0.0340000,-0.0340000,8.9500000,0.0220000,-0.0220000,11.5743000,0.0005360,-0.0005360,2022-12-17,2022-12,2022-12-17
TOI-1266 b,TOI-1266,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..49D/abstract target=ref>Demory et al. 2020</a>,10.89484300,0.00006700,-0.00006600,0,0.073600,0.001600,-0.001700,0,2.370,0.160,-0.120,0,0.211,0.014,-0.011,0,13.50000,11.00000,-9.00000,0,0.04248,0.03461,-0.02832,0,Mass,0.090000,0.060000,-0.050000,0,4.90,1.00,-0.80,0,413,20,-20,0,1,<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..49D/abstract target=ref>Demory et al. 2020</a>,M3,3600.00,150.00,-150.00,0,0.42,0.02,-0.02,0,0.45,0.03,-0.03,0,-0.500,0.500,-0.500,0,[Fe/H],4.85,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.0118000,0.0295000,-0.0295000,12.9410000,0.0490000,-0.0490000,8.8400000,0.0200000,-0.0200000,12.1222000,0.0002490,-0.0002490,2020-10-01,2020-10,2020-10-08
